Vehicle Make,Vehicle Model,Year Of Birth,Total,%,,,,
HYUNDAI,SANTA FE,2001.0000,20.0000,0.3000,,0.3000,,0.0030
HYUNDAI,SANTA FE,2002.0000,139.0000,2.0000,,2.0000,,0.0200
HYUNDAI,SANTA FE,2003.0000,311.0000,4.4000,,4.4000,,0.0440
HYUNDAI,SANTA FE,2004.0000,614.0000,8.7000,,8.7000,,0.0870
HYUNDAI,SANTA FE,2005.0000,1048.0000,14.9000,,14.9000,,0.1490
HYUNDAI,SANTA FE,2006.0000,1310.0000,18.7000,,18.7000,,0.1870
HYUNDAI,SANTA FE,2007.0000,1552.0000,22.1000,,22.1000,,0.2210
HYUNDAI,SANTA FE,2008.0000,642.0000,9.1000,,9.1000,,0.0910
HYUNDAI,SANTA FE,2009.0000,82.0000,1.2000,,1.2000,,0.0120
HYUNDAI,SANTA FE,2010.0000,221.0000,3.1000,,3.1000,,0.0310
HYUNDAI,SANTA FE,2011.0000,64.0000,0.9000,,0.9000,,0.0090
HYUNDAI,SANTA FE,2012.0000,254.0000,3.6000,,3.6000,,0.0360
HYUNDAI,SANTA FE,2013.0000,87.0000,1.2000,,1.2000,,0.0120
HYUNDAI,SANTA FE,2014.0000,584.0000,8.3000,,8.3000,,0.0830
HYUNDAI,SANTA FE,2015.0000,93.0000,1.3000,,1.3000,,0.0130
,,,7021.0000,100.0000,,100.0000,,0.9980
